ID,Field Name,Display Name,Business Description,Module,Required or Optional,DB table,Provided by,Section,Depends on
1,group_member,Entity,"Entity / group member, e.g. HASE, HSBC",Basic Info,Required,tbl_use_case,Business,Basic Information,
2,country_code,Market,"use case cover business area. E.g.:
INHK -- HK / MO
HASE only HK.",Basic Info,Required,tbl_use_case,Business,Basic Information,
3,line_of_business,Line Of Business,Line of business,Basic Info,Required,tbl_use_case,Business,Basic Information,create mode editable
4,use_case_name,Use Case Name,"The business scenario for the message triggering, it's for user to check the related message delivery information in MDC MI report",Basic Info,Required,tbl_use_case,Business,Basic Information,
5,project_name,Project Name,Project name,Basic Info,Required,tbl_use_case,Business / IT PM,Basic Information,
6,source_system,Source System,Source system name that will pass the notification request to MDC,Basic Info,Required,tbl_use_case,Business / IT PM / Source System IT,Technical Requirement,
7,downstream_name,Downstream Name,Downstream system/name that MDC will pass the notification request from MDC,Basic Info,Optional,tbl_use_case_ext,Business / IT PM / Downstream System IT,Technical Requirement,
8,service_line,Service Line,"Message servicing nature, servicing or marketing",Basic Info,Required,tbl_use_case_ext,Business,Message Classification,
9,depart_head,Depart. Head,"Department head, MD or GCB 2",Extension Info,Required by UI,tbl_use_case_ext,Business,Basic Information,
10,team_head,Team Head,"Team head, GCB 3",Extension Info,Required by UI,tbl_use_case_ext,Business,Basic Information,
11,message_owner,Message Owner,"Message owner, GCB 5 or above",Extension Info,Required,tbl_use_case_ext,Business,Basic Information,
12,business_line_1st_level,Business Line 1st Level,"Business line first level, the department of the department head",Extension Info,Required by UI,tbl_use_case_ext,Business,Basic Information,
13,business_line_2nd_level,Business Line 2nd Level,"Business line second level, the department of the team head",Extension Info,Required by UI,tbl_use_case_ext,Business,Basic Information,
14,delivery_schedule,Is 7*24,Whether delivery schedule supports 7*24,Extension Info,Required,tbl_use_case_ext,Business,Message Classification,
15,delivery_schedule,Other,"If the delivery scheudle no nees to support 7*24, what's the expected delivery frequency",Extension Info,Required,,Business,Message Classification,
16,high_risk_flag,Is High Risk,"High risk critical message flag
- regulatory message
- time sensitive message, like 'Card-Not-Present' message
- message for high-risk transaction",Extension Info,Required,tbl_use_case_ext,Business,Message Classification,
17,is_dual_channel,Is Dual Channel,"Dual channel message flag, if the message requires to send dual channel or not",Extension Info,Optional,tbl_use_case_ext,Business,Message Claasification,
18,support_dual_vendor,Support Dual Vendor,"Support dual vendor flag, if the SMS requires to send through dual vendor or not, high-risk message is a must for this feature",Extension Info,Optional,tbl_use_case_ext,Business,Technical Requirement,
19,business_team,Business Team,Business team,Extension Info,Optional,tbl_use_case_ext,Business,Basic Information,
